year,uitp_region,new_track_length,new_track_track_costs,new_track_rolling_stock_costs,value_USDm
2014,Asia-Pacific,342.0,33118.323078894966,,
2015,Asia-Pacific,465.0,48104.23681686072,3624.1720454006827,51728.40886226141
2016,Asia-Pacific,649.0,67941.13210090432,4983.787591618276,72924.9196925226
2017,Asia-Pacific,965.0,99540.85702494645,6660.51857245928,106201.37559740573
2018,Asia-Pacific,574.0,58669.03889467427,2593.589126378728,61262.628021052995
2019,Asia-Pacific,1078.0,111733.4731393607,8281.15151022807,120014.62464958878
2020,Asia-Pacific,1234.0,132182.7256812745,12023.511159862986,144206.23684113746
2021,Asia-Pacific,962.75,105633.2465723067,6446.928930562444,112080.17550286914
2022,Asia-Pacific,962.75,102163.32829737138,5789.063359662621,107952.391657034
2023,Asia-Pacific,962.75,104903.60393619964,5093.695335204223,109997.29927140386
2014,Eurasia,15.0,1452.5580297760948,,
2015,Eurasia,8.0,827.5997731933027,93.94269617325354,921.5424693665562
2016,Eurasia,11.0,1151.544611879734,127.26960403454581,1278.8142159142799
2017,Eurasia,12.0,1237.8137661133237,124.7898194715687,1362.6035855848925
2018,Eurasia,39.0,3986.2238970249064,265.50400185716734,4251.7278988820735
2019,Eurasia,18.0,1865.679514386357,208.3347207396895,2074.0142351260465
2020,Eurasia,40.0,4284.69127005752,587.2098373050319,4871.9011073625525
2021,Eurasia,27.25,2989.8789603691066,274.9305760849567,3264.809536454063
2022,Eurasia,27.25,2891.6652257630435,246.87576699026923,3138.540992753313
2023,Eurasia,27.25,2969.226909645744,217.2216582488026,3186.4485678945466
2014,Europe,96.0,9296.371390567008,,
2015,Europe,25.0,2586.249291229071,220.82768735416346,2807.0769785832344
2016,Europe,37.0,3873.3773308681966,322.01359991041556,4195.3909307786125
2017,Europe,45.0,4641.801622924964,352.00668103152674,4993.808303956491
2018,Europe,23.0,2350.84999055315,117.78087670314548,2468.6308672562955
2019,Europe,19.0,1969.32837629671,165.41817797177902,2134.746554268489
2020,Europe,47.0,5034.512242317586,519.0051548746908,5553.517397192277
2021,Europe,33.5,3675.631015499636,254.23879691545483,3929.8698124150906
2022,Europe,33.5,3554.8911949747508,228.2954441843928,3783.1866391591434
2023,Europe,33.5,3650.242255894768,200.87315802986618,3851.115413924634
2014,Latin America,49.0,4745.022897268576,,
2015,Latin America,15.0,1551.7495747374426,149.64323284235076,1701.3928075797933
2016,Latin America,22.0,2303.089223759468,216.24569889055567,2519.3349226500236
2017,Latin America,32.0,3300.83670963553,282.7096795108105,3583.5463891463405
2018,Latin America,24.0,2453.060859707635,138.80672118877092,2591.867580896406
2019,Latin America,50.0,5182.443095517658,491.64535867773327,5674.088454195391
2020,Latin America,19.0,2035.228353277322,236.9625538151279,2272.19090709245
2021,Latin America,31.25,3428.7602756526453,267.8547465307689,3696.615022183414
2022,Latin America,31.25,3316.1298460585363,240.52197806959734,3556.6518241281337
2023,Latin America,31.25,3405.0767312451194,211.6310707952936,3616.707802040413
2014,MENA,25.0,2420.9300496268247,,
2015,MENA,49.0,5069.048610808979,336.07376042511277,5405.122371234092
2016,MENA,5.0,523.4293690362427,33.78839045164933,557.2177594878921
2017,MENA,46.0,4744.952770101075,279.39667545404313,5024.349445555118
2018,MENA,41.0,4190.645635333876,163.02560222952002,4353.671237563396
2019,MENA,87.0,9017.450986200725,588.1307603182383,9605.581746518963
2020,MENA,18.0,1928.111071525884,154.3374528138004,2082.4485243396844
2021,MENA,48.0,5266.575783402463,282.8546123364919,5549.430395738955
2022,MENA,48.0,5093.575443545911,253.99120884149477,5347.566652387406
2023,MENA,48.0,5230.1978591925035,223.48241075983003,5453.680269952333
2014,North America,10.0,968.3720198507299,,
2015,North America,2.0,206.89994329832567,18.28972845850954,225.1896717568352
2016,North America,15.0,1570.2881071087284,135.1535618065973,1705.4416689153256
2017,North America,26.0,2681.929826578868,210.55981338565573,2892.4896399645236
2018,North America,0.0,0.0,0.0,0.0
2019,North America,0.0,0.0,0.0,0.0
2020,North America,16.0,1713.876508023008,182.91846259413384,1896.7949706171419
2021,North America,10.5,1152.0634526192887,82.49926193147682,1234.5627145507656
2022,North America,10.5,1114.2196282756681,74.08076924543599,1188.300397521104
2023,North America,10.5,1144.10578169836,65.18236980495044,1209.2881515033105
